*TIPO CURSO;IES;*IES_ID;CAMPUS;*CAMPUS_ID;*NOME DO CURSO;*TURNO;*QTDE DE MENSALIDADE DO CURSO;MENSALIDADE;*VALOR DO CURSO;*ID_CLASSIFICAÇÃO;CLASSIFICAÇÃO;*ID_ENFASE;ENFASE;*DESCRIÇÃO CURTA;*Ativo;*ID AREA DE CONHECIMENTO;ID PRODUTO PRVALER;ID_CURSO_IES;MATRICULA;"";"erro";
GRADUAÇÃO;FACULDADE ESTÁCIO DE RIB PRETO;1149;POLO POPULAR - RIO VERDE - GO;20498;LETRAS - LÍNGUA PORTUGUESA - FORMAÇÃO PEDAGÓGICA;EAD - Ensino à Distância;18;383,17;6897,06;133;LETRAS - LÍNGUA PORTUGUESA - FORMAÇÃO PEDAGÓGICA;260;LETRAS;GRA-LET-POL-EAD;1;7;189;;;"";"";
GRADUAÇÃO;FACULDADE ESTÁCIO DE RIB PRETO;1149;POLO POPULAR - RIO VERDE - GO;20498;LETRAS - LÍNGUA PORTUGUESA - SEGUNDA LICENCIATURA;EAD - Ensino à Distância;18;383,17;6897,06;133;LETRAS - LÍNGUA PORTUGUESA - SEGUNDA LICENCIATURA;260;LETRAS;GRA-LET-POL-EAD;1;7;189;;;"";"";
GRADUAÇÃO;FACULDADE ESTÁCIO DE RIB PRETO;1149;POLO POPULAR - RIO VERDE - GO;20498;LETRAS - PORTUGUÊS;EAD - Ensino à Distância;48;383,17;18392,16;133;LETRAS - PORTUGUÊS;260;LETRAS;GRA-LET-POL-EAD;1;7;189;;;"";"";
GRADUAÇÃO;FACULDADE ESTÁCIO DE RIB PRETO;1149;POLO POPULAR - RIO VERDE - GO;20498;LOGÍSTICA;EAD - Ensino à Distância;24;408,17;9796,08;135;LOGÍSTICA;275;LOGÍSTICA;GRA-LOG-POL-EAD;1;7;189;;;"";"";
GRADUAÇÃO;FACULDADE ESTÁCIO DE RIB PRETO;1149;POLO POPULAR - RIO VERDE - GO;20498;MARKETING;EAD - Ensino à Distância;24;408,17;9796,08;35;MARKETING;497;COMUNICAÇÃO DIGITAL;GRA-MAR-POL-EAD;1;7;189;;;"";"";
GRADUAÇÃO;FACULDADE ESTÁCIO DE RIB PRETO;1149;POLO POPULAR - RIO VERDE - GO;20498;MATEMÁTICA;EAD - Ensino à Distância;48;383,17;18392,16;139;MATEMÁTICA;290;MATEMÁTICA;GRA-MAT-POL-EAD;1;1;189;;;"";"";
GRADUAÇÃO;FACULDADE ESTÁCIO DE RIB PRETO;1149;POLO POPULAR - RIO VERDE - GO;20498;MATEMÁTICA - BACHARELADO;EAD - Ensino à Distância;36;383,17;13794,12;139;MATEMÁTICA - BACHARELADO;290;MATEMÁTICA;GRA-MAT-POL-EAD;1;7;189;;;"";"";
GRADUAÇÃO;FACULDADE ESTÁCIO DE RIB PRETO;1149;POLO POPULAR - RIO VERDE - GO;20498;MATEMÁTICA - FORMAÇÃO PEDAGÓGICA;EAD - Ensino à Distância;18;383,17;6897,06;139;MATEMÁTICA - FORMAÇÃO PEDAGÓGICA;290;MATEMÁTICA;GRA-MAT-POL-EAD;1;7;189;;;"";"";
GRADUAÇÃO;FACULDADE ESTÁCIO DE RIB PRETO;1149;POLO POPULAR - RIO VERDE - GO;20498;MATEMÁTICA - SEGUNDA LICENCIATURA;EAD - Ensino à Distância;18;383,17;6897,06;139;MATEMÁTICA - SEGUNDA LICENCIATURA;290;MATEMÁTICA;GRA-MAT-POL-EAD;1;7;189;;;"";"";
GRADUAÇÃO;FACULDADE ESTÁCIO DE RIB PRETO;1149;POLO POPULAR - RIO VERDE - GO;20498;MEDIAÇÃO;EAD - Ensino à Distância;30;408,17;12245,1;39;MEDIAÇÃO;56;COMUNICAÇÃO SOCIAL;GRA-MED-POL-EAD;1;7;189;;;"";"";
GRADUAÇÃO;FACULDADE ESTÁCIO DE RIB PRETO;1149;POLO POPULAR - RIO VERDE - GO;20498;NEGÓCIOS IMOBILIÁRIOS;EAD - Ensino à Distância;24;330;7920;151;NEGÓCIOS IMOBILIÁRIOS;314;NEGÓCIOS IMOBILIÁRIOS;GRA-NEG-POL-EAD;1;7;189;;;"";"";
GRADUAÇÃO;FACULDADE ESTÁCIO DE RIB PRETO;1149;POLO POPULAR - RIO VERDE - GO;20498;PEDAGOGIA;EAD - Ensino à Distância;48;383,17;18392,16;163;PEDAGOGIA;326;PEDAGOGIA;GRA-PED-POL-EAD;1;6;189;;;"";"";
